タイムスタンプ,メールアドレス,第1問　優勝者と思う演奏者を選択してください。,第2問　優勝者と思う演奏者を選択してください。,第3問　優勝者と思う演奏者を選択してください。,第4問　優勝者と思う演奏者を選択してください。,第5問　優勝者と思う演奏者を選択してください。,第6問　優勝者と思う演奏者を選択してください。,第7問　優勝者と思う演奏者を選択してください。,第8問　優勝者と思う演奏者を選択してください。,第9問　優勝者と思う演奏者を選択してください。,第10問　優勝者と思う演奏者を選択してください。,第11問　優勝者と思う演奏者を選択してください。,第12問　優勝者と思う演奏者を選択してください。,第13問　優勝者と思う演奏者を選択してください。,第14問　優勝者と思う演奏者を選択してください。,第15問　優勝者と思う演奏者を選択してください。,第16問　優勝者と思う演奏者を選択してください。,第17問　優勝者と思う演奏者を選択してください。,第18問　優勝者と思う演奏者を選択してください。,第19問　優勝者と思う演奏者を選択してください。,第20問　優勝者と思う演奏者を選択してください。,第21問　優勝者と思う演奏者を選択してください。,第22問　優勝者と思う演奏者を選択してください。,第23問　優勝者と思う演奏者を選択してください。,第24問　優勝者と思う演奏者を選択してください。,第25問　優勝者と思う演奏者を選択してください。,第26問　優勝者と思う演奏者を選択してください。,第27問　優勝者と思う演奏者を選択してください。,第28問　優勝者と思う演奏者を選択してください。,第29問　優勝者と思う演奏者を選択してください。,第30問　優勝者と思う演奏者を選択してください。,第31問　優勝者と思う演奏者を選択してください。,第32問　優勝者と思う演奏者を選択してください。,第33問　優勝者と思う演奏者を選択してください。,第34問　優勝者と思う演奏者を選択してください。,第35問　優勝者と思う演奏者を選択してください。,第36問　優勝者と思う演奏者を選択してください。,第37問　優勝者と思う演奏者を選択してください。,第38問　優勝者と思う演奏者を選択してください。,第39問　優勝者と思う演奏者を選択してください。,第40問　優勝者と思う演奏者を選択してください。,第41問　優勝者と思う演奏者を選択してください。,第42問　優勝者と思う演奏者を選択してください。,第43問　優勝者と思う演奏者を選択してください。,第44問　優勝者と思う演奏者を選択してください。,第45問　優勝者と思う演奏者を選択してください。,第46問　優勝者と思う演奏者を選択してください。,第47問　優勝者と思う演奏者を選択してください。,第48問　優勝者と思う演奏者を選択してください。,第49問　優勝者と思う演奏者を選択してください。,第50問　優勝者と思う演奏者を選択してください。,上記に表示された文字列を貼り付けてください（141文字）。,データの利用,データ利用不可の理由,注意点,,
3/2/2022 10:11:34,,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,3a22b45a20b34a1a43b28b32a13b18b9b15a35a37a4b30a6a50a5b31b27b24b26a42a12a25a46a36b44a8a29a16b41b49a40b17b11a14b48b21a2b38a47b39b33b23b19b10a7a,,,,,
3/2/2022 11:15:39,,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,31a9a24a1a37a12a22a35a14a21b30a23b33a49a32b4a29b20b11a48a16a36b6a25b10b19b3a39b18b45a43b44b47b46b2b8a34b5b50b40b38b17a26b27b41b28a13b42b15b7b,,,,,
3/2/2022 11:36:11,,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,16a37b14a24a2a38b42a10a9b27b32b7b22a39b36a18a40a19b1b15a8a30b41b48b50b29a43a34b13a26a33b31b44a4a21b25a47a5a28a35a17a12b20b3a49b11b46b45b23a6b,,,,,
3/2/2022 12:29:38,,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,12b6a42b47a44a15b34b24a22b33a8a21a5a32a41a28b11a2b16b27b40b1b30a36a39b18a50b17a26a3a45a38b19a13a35b14a20b46b29b10b4b48b23a9b43b49a31b7b37a25b,,,,,
3/2/2022 12:43:22,,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,23a41b4a18b21b36b16a40b43b39b11a12b32a37b22a49b13b33a31a38a3a9a20b30a25b6b45a17a1b14b28a44b10b7b29b50b34b47a42a19a27a2b8a48a5b26a15b24b46a35b,,,Task2のdataなし,,
3/2/2022 13:53:03,,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,26b45b5b1a39b41b46a13a10b43a6a36b28a47b21a48b31a49a33a19a50b25a16a38a22b3a24b23a14b40a4a35a15b18b17b29a34b20b37b11b27a7a8b30b42a9b2a32a44a12a,,,,,
3/2/2022 14:27:52,,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,30a29a34a33a23a10b42a11b13a1b49a2a38b26b6a16b15b32a21b44a50a7b28b9b25a5a19a24a27b47b17b22b4b20b40b46b39b37b43a3b8a35b14b41b31b45b12b48b36a18a,,,,,
3/2/2022 15:11:10,,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,49b19b27a37b46b42a35b24b18a36a8b9a5a20b6a31a43b1b12a50a47b26a28a7a39b13a16b30a32b3a21b48a4a34a2b33b15a40b25a41b10b14b29a22a11b17b38b44a23b45b,,,,,
3/2/2022 15:27:38,,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,36b15a12a20b42b2a28a13a3b38a50a24a29a8a35a6a4b5a37a7b49a44b41a30b27a39a10a45b31a33a11b34a19b9a22a26a43b25b48a17a1b40b18b46b23b47a21a32b16b14b,,,,,
3/2/2022 17:41:24,,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,39a43a33b19b30b12a42a34b17b50b48a9b35b27b24b44b14a4b3b16a38b26a8a15b5a41a46b11b28a6a32b40b45a49b47b22a25b7b18b36a29a10a31a23a1a37a20b2a13b21a,,,,,
3/2/2022 17:47:14,,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,15b39b40a25b24a6a13a33b48a35a32a1b41a16a5b45b14a19b38b37b11a20b28b46b7b23b43a27b4a2a49a47a9a18b34b30a8a31b36b21a29b17b10b50a26b3a12a44b42a22a,,,,,
3/2/2022 20:32:57,,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,二人目の演奏,一人目の演奏,一人目の演奏,二人目の演奏,1b24b2a18a37b30a8b45a4b13b27b22a6a7b15a23b50a39b36a41a40a38b31a33a29a43a46b21b12a17a3b32a48b25b11a16a35b34b14a42a9a47b49a44a5a20a10b19b28a26a,,,Task2の実施時間4分 / Task1でも動画を視聴していない可能性あり,,
